Title,Category,Subject,Description
Item 1,Company Events,Annual Meeting,This is a plain text description for the annual company meeting. It contains basic information about the event and what attendees can expect.
Item 2,Company Events,Annual Meeting,https://www.pixelstalk.net/wp-content/uploads/2016/07/Free-Amazing-Background-Images-Nature.jpg
Item 3,Company Events,Annual Meeting,"<p>This is a <strong>rich text description</strong> with <em>formatting</em> and <u>styling</u> for the annual meeting.</p><p>It includes multiple paragraphs and <span style=""color: blue;"">colored text</span>.</p>"
Item 4,Company Events,Team Building,Team building activities help improve collaboration and communication among team members. This event focuses on building stronger relationships.
Item 5,Company Events,Team Building,https://www.pixelstalk.net/wp-content/uploads/2016/08/Beautiful-nature-cool-images-background-hd.jpg
Item 6,Company Events,Team Building,"<div><h3>Team Building Event</h3><p>Join us for an exciting <b>team building</b> experience featuring:</p><ul><li>Group activities</li><li>Problem solving challenges</li><li>Team competitions</li></ul></div>"
Item 7,Company Events,Holiday Party,The annual holiday party is a celebration of our team's hard work throughout the year. Food, drinks, and entertainment provided.
Item 8,Company Events,Holiday Party,https://BadURL/BadURL.jpg
Item 9,Company Events,Holiday Party,"<div style=""background-color: #f0f0f0; padding: 10px;""><h2>🎉 Holiday Party 2025</h2><p>Celebrate the season with your colleagues!</p><p><i>Dress code: Festive attire</i></p></div>"
Item 10,Projects,Website Redesign,The website redesign project aims to improve user experience and modernize our online presence. This is a multi-phase project.
Item 11,Projects,Website Redesign,https://www.pixelstalk.net/wp-content/uploads/2016/07/Free-Amazing-Background-Images-Nature.jpg
Item 12,Projects,Website Redesign,"<div><h4>Website Redesign Project</h4><p>Project <span style=""color: green;"">status: In Progress</span></p><p>Key objectives:</p><ol><li>Improve navigation</li><li>Enhance mobile experience</li><li>Update content structure</li></ol></div>"
Item 13,Projects,Website Redesign,Phase 1 of the website redesign focuses on user research and requirements gathering. We're conducting surveys and interviews.
Item 14,Projects,Website Redesign,https://www.pixelstalk.net/wp-content/uploads/2016/08/Beautiful-nature-cool-images-background-hd.jpg
Item 15,Projects,Website Redesign,"<p>Phase 1 <strong>completed</strong>! Moving to Phase 2: <em>Design and Prototyping</em></p><p>Timeline: 4-6 weeks</p>"
Item 16,Projects,Website Redesign,Phase 2 involves creating wireframes and prototypes based on the requirements gathered in Phase 1.
Item 17,Projects,Website Redesign,https://BadURL/BadURL.jpg
Item 18,Projects,Website Redesign,"<div style=""border: 2px solid #0078d4; padding: 15px;""><h3>Phase 2: Design</h3><p>Creating wireframes and prototypes</p><p><u>Deadline: End of month</u></p></div>"
Item 19,Projects,Mobile App Development,The mobile app development project will create a companion app for our main website. This will improve customer engagement.
Item 20,Projects,Mobile App Development,https://www.pixelstalk.net/wp-content/uploads/2016/07/Free-Amazing-Background-Images-Nature.jpg
Item 21,Projects,Mobile App Development,"<div><h3>📱 Mobile App Development</h3><p>Creating a companion app with:</p><ul><li>User authentication</li><li>Push notifications</li><li>Offline functionality</li></ul></div>"
Item 22,Projects,Mobile App Development,Development is proceeding on schedule. The core functionality has been implemented and we're now testing.
Item 23,Projects,Mobile App Development,https://www.pixelstalk.net/wp-content/uploads/2016/08/Beautiful-nature-cool-images-background-hd.jpg
Item 24,Projects,Mobile App Development,"<p>Testing phase <span style=""color: orange;"">in progress</span></p><p>Beta release scheduled for next month</p>"
Item 25,Projects,Mobile App Development,Final testing and bug fixes are being completed. The app will be ready for release soon.
Item 26,Projects,Mobile App Development,https://BadURL/BadURL.jpg
Item 27,Projects,Mobile App Development,"<div style=""background: linear-gradient(45deg, #ff6b6b, #4ecdc4); color: white; padding: 20px;""><h2>🚀 Launch Ready!</h2><p>App testing complete. Ready for production release.</p></div>"
Item 28,Projects,Data Migration,The data migration project involves moving our legacy systems to modern cloud-based solutions. This is a critical infrastructure upgrade.
Item 29,Projects,Data Migration,https://www.pixelstalk.net/wp-content/uploads/2016/07/Free-Amazing-Background-Images-Nature.jpg
Item 30,Projects,Data Migration,"<div><h3>🔄 Data Migration Project</h3><p>Migrating from legacy systems to cloud</p><p><strong>Priority: High</strong></p><p><em>Estimated completion: 3 months</em></p></div>"
Item 31,Projects,Data Migration,Planning phase is complete. We've identified all data sources and created migration strategies for each system.
Item 32,Projects,Data Migration,https://www.pixelstalk.net/wp-content/uploads/2016/08/Beautiful-nature-cool-images-background-hd.jpg
Item 33,Projects,Data Migration,"<p>Migration strategy <span style=""color: green;"">approved</span></p><p>Starting with non-critical systems first</p>"
Item 34,Projects,Data Migration,Execution phase has begun. We're migrating data in batches to minimize disruption to daily operations.
Item 35,Projects,Data Migration,https://BadURL/BadURL.jpg
Item 36,Projects,Data Migration,"<div style=""border-left: 4px solid #0078d4; padding-left: 15px;""><h4>Migration Progress</h4><p>✅ Phase 1: Complete</p><p>🔄 Phase 2: In Progress</p><p>⏳ Phase 3: Pending</p></div>"
Item 37,Training,New Employee Orientation,New employee orientation provides essential information about company policies, procedures, and culture. All new hires must attend.
Item 38,Training,New Employee Orientation,https://www.pixelstalk.net/wp-content/uploads/2016/07/Free-Amazing-Background-Images-Nature.jpg
Item 39,Training,New Employee Orientation,"<div><h3>👋 Welcome New Employees!</h3><p>Orientation covers:</p><ul><li>Company history and values</li><li>HR policies and procedures</li><li>IT setup and security</li><li>Team introductions</li></ul></div>"
Item 40,Training,New Employee Orientation,The orientation program has been updated to include new safety protocols and remote work guidelines.
Item 41,Training,New Employee Orientation,https://www.pixelstalk.net/wp-content/uploads/2016/08/Beautiful-nature-cool-images-background-hd.jpg
Item 42,Training,New Employee Orientation,"<p>Updated program <span style=""color: blue;"">includes</span> hybrid work policies and digital collaboration tools training.</p>"
Item 43,Training,New Employee Orientation,Feedback from recent orientation sessions has been positive. Participants feel well-prepared for their roles.
Item 44,Training,New Employee Orientation,https://BadURL/BadURL.jpg
Item 45,Training,New Employee Orientation,"<div style=""background-color: #e8f5e8; padding: 15px; border-radius: 8px;""><h4>📊 Orientation Feedback</h4><p><strong>Average Rating:</strong> 4.8/5</p><p><em>""Very informative and well-organized""</em></p></div>"
Item 46,Training,Technical Skills Workshop,Technical skills workshops provide hands-on training for various software tools and technologies used in our daily work.
Item 47,Training,Technical Skills Workshop,https://www.pixelstalk.net/wp-content/uploads/2016/07/Free-Amazing-Background-Images-Nature.jpg
Item 48,Training,Technical Skills Workshop,"<div><h3>💻 Technical Skills Workshop</h3><p>Upcoming sessions:</p><ol><li>Advanced Excel (2 days)</li><li>Power BI Fundamentals (3 days)</li><li>Python for Data Analysis (5 days)</li></ol></div>"
Item 49,Training,Technical Skills Workshop,The Excel workshop covers advanced formulas, pivot tables, and data visualization techniques.
Item 50,Training,Technical Skills Workshop,https://www.pixelstalk.net/wp-content/uploads/2016/08/Beautiful-nature-cool-images-background-hd.jpg
Item 51,Training,Technical Skills Workshop,"<p>Excel workshop <span style=""color: green;"">fully booked</span></p><p>Waitlist available for next session</p>"
Item 52,Training,Technical Skills Workshop,Power BI workshop focuses on creating interactive dashboards and reports for data analysis.
Item 53,Training,Technical Skills Workshop,https://BadURL/BadURL.jpg
Item 54,Training,Technical Skills Workshop,"<div style=""border: 2px dashed #ff6b6b; padding: 10px;""><h4>📈 Power BI Workshop</h4><p>Learn to create interactive dashboards</p><p><u>Prerequisites: Basic Excel knowledge</u></p></div>"
Item 55,Training,Leadership Development,Leadership development program helps managers and supervisors improve their leadership skills and team management abilities.
Item 56,Training,Leadership Development,https://www.pixelstalk.net/wp-content/uploads/2016/07/Free-Amazing-Background-Images-Nature.jpg
